Year,Month,Day of Week,Day of Month,Season,Day of Season,Sign,Day of Sign,Name of Holiday
2024,January,Monday,1,Midwinter,12,Capricorn,12,New Year's Day
2024,January,Tuesday,2,Midwinter,13,Capricorn,13,
2024,January,Wednesday,3,Midwinter,14,Capricorn,14,
2024,January,Thursday,4,Midwinter,15,Capricorn,15,
2024,January,Friday,5,Midwinter,16,Capricorn,16,
2024,January,Saturday,6,Midwinter,17,Capricorn,17,Epiphany
2024,January,Sunday,7,Midwinter,18,Capricorn,18,
2024,January,Monday,8,Midwinter,19,Capricorn,19,
2024,January,Tuesday,9,Midwinter,20,Capricorn,20,
2024,January,Wednesday,10,Midwinter,21,Capricorn,21,
2024,January,Thursday,11,Midwinter,22,Capricorn,22,
2024,January,Friday,12,Midwinter,23,Capricorn,23,
2024,January,Saturday,13,Midwinter,24,Capricorn,24,
2024,January,Sunday,14,Midwinter,25,Capricorn,25,
2024,January,Monday,15,Midwinter,26,Capricorn,26,"Martin Luther King, Jr. Day"
2024,January,Tuesday,16,Midwinter,27,Capricorn,27,
2024,January,Wednesday,17,Midwinter,28,Capricorn,28,
2024,January,Thursday,18,Midwinter,29,Capricorn,29,
2024,January,Friday,19,Midwinter,30,Capricorn,30,
2024,January,Saturday,20,Midwinter,31,Capricorn,31,
2024,January,Sunday,21,Midwinter,32,Aquarius,1,
2024,January,Monday,22,Midwinter,33,Aquarius,2,
2024,January,Tuesday,23,Midwinter,34,Aquarius,3,
2024,January,Wednesday,24,Midwinter,35,Aquarius,4,
2024,January,Thursday,25,Midwinter,36,Aquarius,5,
2024,January,Friday,26,Midwinter,37,Aquarius,6,
2024,January,Saturday,27,Midwinter,38,Aquarius,7,
2024,January,Sunday,28,Midwinter,39,Aquarius,8,
2024,January,Monday,29,Midwinter,40,Aquarius,9,
2024,January,Tuesday,30,Midwinter,41,Aquarius,10,
2024,January,Wednesday,31,Midwinter,42,Aquarius,11,
2024,February,Thursday,1,Old Winter,1,Aquarius,12,Imbolc
2024,February,Friday,2,Old Winter,2,Aquarius,13,Candlemas
2024,February,Saturday,3,Old Winter,3,Aquarius,14,
2024,February,Sunday,4,Old Winter,4,Aquarius,15,
2024,February,Monday,5,Old Winter,5,Aquarius,16,
2024,February,Tuesday,6,Old Winter,6,Aquarius,17,
2024,February,Wednesday,7,Old Winter,7,Aquarius,18,
2024,February,Thursday,8,Old Winter,8,Aquarius,19,
2024,February,Friday,9,Old Winter,9,Aquarius,20,
2024,February,Saturday,10,Old Winter,10,Aquarius,21,
2024,February,Sunday,11,Old Winter,11,Aquarius,22,
2024,February,Monday,12,Old Winter,12,Aquarius,23,
2024,February,Tuesday,13,Old Winter,13,Aquarius,24,
2024,February,Wednesday,14,Old Winter,14,Aquarius,25,Valentine's Day
2024,February,Thursday,15,Old Winter,15,Aquarius,26,
2024,February,Friday,16,Old Winter,16,Aquarius,27,
2024,February,Saturday,17,Old Winter,17,Aquarius,28,
2024,February,Sunday,18,Old Winter,18,Aquarius,29,
2024,February,Monday,19,Old Winter,19,Aquarius,30,President's Day
2024,February,Tuesday,20,Old Winter,20,Pisces,1,
2024,February,Wednesday,21,Old Winter,21,Pisces,2,
2024,February,Thursday,22,Old Winter,22,Pisces,3,
2024,February,Friday,23,Old Winter,23,Pisces,4,
2024,February,Saturday,24,Old Winter,24,Pisces,5,
2024,February,Sunday,25,Old Winter,25,Pisces,6,
2024,February,Monday,26,Old Winter,26,Pisces,7,
2024,February,Tuesday,27,Old Winter,27,Pisces,8,
2024,February,Wednesday,28,Old Winter,28,Pisces,9,
2024,February,Thursday,29,Old Winter,29,Pisces,10,
2024,March,Friday,1,Old Winter,30,Pisces,11,
2024,March,Saturday,2,Old Winter,31,Pisces,12,
2024,March,Sunday,3,Old Winter,32,Pisces,13,
2024,March,Monday,4,Old Winter,33,Pisces,14,
2024,March,Tuesday,5,Old Winter,34,Pisces,15,
2024,March,Wednesday,6,Old Winter,35,Pisces,16,
2024,March,Thursday,7,Old Winter,36,Pisces,17,
2024,March,Friday,8,Old Winter,37,Pisces,18,
2024,March,Saturday,9,Old Winter,38,Pisces,19,
2024,March,Sunday,10,Old Winter,39,Pisces,20,
2024,March,Monday,11,Old Winter,40,Pisces,21,
2024,March,Tuesday,12,Old Winter,41,Pisces,22,
2024,March,Wednesday,13,Old Winter,42,Pisces,23,
2024,March,Thursday,14,Old Winter,43,Pisces,24,
2024,March,Friday,15,Old Winter,44,Pisces,25,
2024,March,Saturday,16,Old Winter,45,Pisces,26,
2024,March,Sunday,17,Old Winter,46,Pisces,27,St. Patrick's Day
2024,March,Monday,18,Old Winter,47,Pisces,28,
2024,March,Tuesday,19,Old Winter,48,Pisces,29,
2024,March,Wednesday,20,Old Winter,49,Pisces,30,
2024,March,Thursday,21,Young Spring,1,Aries,1,Ostara
2024,March,Friday,22,Young Spring,2,Aries,2,
2024,March,Saturday,23,Young Spring,3,Aries,3,
2024,March,Sunday,24,Young Spring,4,Aries,4,Palm Sunday
2024,March,Monday,25,Young Spring,5,Aries,5,Feast of the Annunciation
2024,March,Tuesday,26,Young Spring,6,Aries,6,
2024,March,Wednesday,27,Young Spring,7,Aries,7,
2024,March,Thursday,28,Young Spring,8,Aries,8,
2024,March,Friday,29,Young Spring,9,Aries,9,Good Friday
2024,March,Saturday,30,Young Spring,10,Aries,10,Holy Saturday
2024,March,Sunday,31,Young Spring,11,Aries,11,Easter Sunday
2024,April,Monday,1,Young Spring,12,Aries,12,April Fool's Day
2024,April,Tuesday,2,Young Spring,13,Aries,13,
2024,April,Wednesday,3,Young Spring,14,Aries,14,
2024,April,Thursday,4,Young Spring,15,Aries,15,
2024,April,Friday,5,Young Spring,16,Aries,16,
2024,April,Saturday,6,Young Spring,17,Aries,17,
2024,April,Sunday,7,Young Spring,18,Aries,18,
2024,April,Monday,8,Young Spring,19,Aries,19,
2024,April,Tuesday,9,Young Spring,20,Aries,20,
2024,April,Wednesday,10,Young Spring,21,Aries,21,
2024,April,Thursday,11,Young Spring,22,Aries,22,
2024,April,Friday,12,Young Spring,23,Aries,23,
2024,April,Saturday,13,Young Spring,24,Aries,24,
2024,April,Sunday,14,Young Spring,25,Aries,25,
2024,April,Monday,15,Young Spring,26,Aries,26,
2024,April,Tuesday,16,Young Spring,27,Aries,27,
2024,April,Wednesday,17,Young Spring,28,Aries,28,
2024,April,Thursday,18,Young Spring,29,Aries,29,
2024,April,Friday,19,Young Spring,30,Aries,30,
2024,April,Saturday,20,Young Spring,31,Taurus,1,
2024,April,Sunday,21,Young Spring,32,Taurus,2,
2024,April,Monday,22,Young Spring,33,Taurus,3,
2024,April,Tuesday,23,Young Spring,34,Taurus,4,
2024,April,Wednesday,24,Young Spring,35,Taurus,5,
2024,April,Thursday,25,Young Spring,36,Taurus,6,
2024,April,Friday,26,Young Spring,37,Taurus,7,
2024,April,Saturday,27,Young Spring,38,Taurus,8,
2024,April,Sunday,28,Young Spring,39,Taurus,9,
2024,April,Monday,29,Young Spring,40,Taurus,10,
2024,April,Tuesday,30,Young Spring,41,Taurus,11,
2024,May,Wednesday,1,Midspring,1,Taurus,12,Beltane
2024,May,Thursday,2,Midspring,2,Taurus,13,
2024,May,Friday,3,Midspring,3,Taurus,14,
2024,May,Saturday,4,Midspring,4,Taurus,15,
2024,May,Sunday,5,Midspring,5,Taurus,16,
2024,May,Monday,6,Midspring,6,Taurus,17,
2024,May,Tuesday,7,Midspring,7,Taurus,18,
2024,May,Wednesday,8,Midspring,8,Taurus,19,
2024,May,Thursday,9,Midspring,9,Taurus,20,Ascension Day
2024,May,Friday,10,Midspring,10,Taurus,21,
2024,May,Saturday,11,Midspring,11,Taurus,22,
2024,May,Sunday,12,Midspring,12,Taurus,23,Mother's Day
2024,May,Monday,13,Midspring,13,Taurus,24,
2024,May,Tuesday,14,Midspring,14,Taurus,25,
2024,May,Wednesday,15,Midspring,15,Taurus,26,
2024,May,Thursday,16,Midspring,16,Taurus,27,
2024,May,Friday,17,Midspring,17,Taurus,28,
2024,May,Saturday,18,Midspring,18,Taurus,29,
2024,May,Sunday,19,Midspring,19,Taurus,30,Pentecost Sunday
2024,May,Monday,20,Midspring,20,Taurus,31,
2024,May,Tuesday,21,Midspring,21,Gemini,1,
2024,May,Wednesday,22,Midspring,22,Gemini,2,
2024,May,Thursday,23,Midspring,23,Gemini,3,
2024,May,Friday,24,Midspring,24,Gemini,4,
2024,May,Saturday,25,Midspring,25,Gemini,5,
2024,May,Sunday,26,Midspring,26,Gemini,6,
2024,May,Monday,27,Midspring,27,Gemini,7,Memorial Day
2024,May,Tuesday,28,Midspring,28,Gemini,8,
2024,May,Wednesday,29,Midspring,29,Gemini,9,
2024,May,Thursday,30,Midspring,30,Gemini,10,
2024,May,Friday,31,Midspring,31,Gemini,11,Feast of the Visitation of the Blessed Virgin Mary
2024,June,Saturday,1,Midspring,32,Gemini,12,
2024,June,Sunday,2,Midspring,33,Gemini,13,
2024,June,Monday,3,Midspring,34,Gemini,14,
2024,June,Tuesday,4,Midspring,35,Gemini,15,
2024,June,Wednesday,5,Midspring,36,Gemini,16,
2024,June,Thursday,6,Midspring,37,Gemini,17,
2024,June,Friday,7,Midspring,38,Gemini,18,
2024,June,Saturday,8,Midspring,39,Gemini,19,
2024,June,Sunday,9,Midspring,40,Gemini,20,
2024,June,Monday,10,Midspring,41,Gemini,21,
2024,June,Tuesday,11,Midspring,42,Gemini,22,
2024,June,Wednesday,12,Midspring,43,Gemini,23,
2024,June,Thursday,13,Midspring,44,Gemini,24,
2024,June,Friday,14,Midspring,45,Gemini,25,
2024,June,Saturday,15,Midspring,46,Gemini,26,
2024,June,Sunday,16,Midspring,47,Gemini,27,Father's Day
2024,June,Monday,17,Midspring,48,Gemini,28,
2024,June,Tuesday,18,Midspring,49,Gemini,29,
2024,June,Wednesday,19,Midspring,50,Gemini,30,Juneteenth
2024,June,Thursday,20,Midspring,51,Gemini,31,
2024,June,Friday,21,Young Summer,1,Gemini,32,Litha
2024,June,Saturday,22,Young Summer,2,Cancer,1,
2024,June,Sunday,23,Young Summer,3,Cancer,2,
2024,June,Monday,24,Young Summer,4,Cancer,3,
2024,June,Tuesday,25,Young Summer,5,Cancer,4,
2024,June,Wednesday,26,Young Summer,6,Cancer,5,
2024,June,Thursday,27,Young Summer,7,Cancer,6,
2024,June,Friday,28,Young Summer,8,Cancer,7,
2024,June,Saturday,29,Young Summer,9,Cancer,8,
2024,June,Sunday,30,Young Summer,10,Cancer,9,
2024,July,Monday,1,Young Summer,11,Cancer,10,
2024,July,Tuesday,2,Young Summer,12,Cancer,11,
2024,July,Wednesday,3,Young Summer,13,Cancer,12,
2024,July,Thursday,4,Young Summer,14,Cancer,13,Independence Day
2024,July,Friday,5,Young Summer,15,Cancer,14,
2024,July,Saturday,6,Young Summer,16,Cancer,15,
2024,July,Sunday,7,Young Summer,17,Cancer,16,
2024,July,Monday,8,Young Summer,18,Cancer,17,
2024,July,Tuesday,9,Young Summer,19,Cancer,18,
2024,July,Wednesday,10,Young Summer,20,Cancer,19,
2024,July,Thursday,11,Young Summer,21,Cancer,20,
2024,July,Friday,12,Young Summer,22,Cancer,21,
2024,July,Saturday,13,Young Summer,23,Cancer,22,
2024,July,Sunday,14,Young Summer,24,Cancer,23,
2024,July,Monday,15,Young Summer,25,Cancer,24,
2024,July,Tuesday,16,Young Summer,26,Cancer,25,
2024,July,Wednesday,17,Young Summer,27,Cancer,26,
2024,July,Thursday,18,Young Summer,28,Cancer,27,
2024,July,Friday,19,Young Summer,29,Cancer,28,
2024,July,Saturday,20,Young Summer,30,Cancer,29,
2024,July,Sunday,21,Young Summer,31,Cancer,30,
2024,July,Monday,22,Young Summer,32,Cancer,31,
2024,July,Tuesday,23,Young Summer,33,Cancer,32,
2024,July,Wednesday,24,Young Summer,34,Leo,1,
2024,July,Thursday,25,Young Summer,35,Leo,2,
2024,July,Friday,26,Young Summer,36,Leo,3,
2024,July,Saturday,27,Young Summer,37,Leo,4,
2024,July,Sunday,28,Young Summer,38,Leo,5,
2024,July,Monday,29,Young Summer,39,Leo,6,
2024,July,Tuesday,30,Young Summer,40,Leo,7,
2024,July,Wednesday,31,Young Summer,41,Leo,8,
2024,August,Thursday,1,Midsummer,1,Leo,9,Lammas
2024,August,Friday,2,Midsummer,2,Leo,10,
2024,August,Saturday,3,Midsummer,3,Leo,11,
2024,August,Sunday,4,Midsummer,4,Leo,12,
2024,August,Monday,5,Midsummer,5,Leo,13,
2024,August,Tuesday,6,Midsummer,6,Leo,14,
2024,August,Wednesday,7,Midsummer,7,Leo,15,
2024,August,Thursday,8,Midsummer,8,Leo,16,
2024,August,Friday,9,Midsummer,9,Leo,17,
2024,August,Saturday,10,Midsummer,10,Leo,18,
2024,August,Sunday,11,Midsummer,11,Leo,19,
2024,August,Monday,12,Midsummer,12,Leo,20,
2024,August,Tuesday,13,Midsummer,13,Leo,21,
2024,August,Wednesday,14,Midsummer,14,Leo,22,
2024,August,Thursday,15,Midsummer,15,Leo,23,Assumption of Mary
2024,August,Friday,16,Midsummer,16,Leo,24,
2024,August,Saturday,17,Midsummer,17,Leo,25,
2024,August,Sunday,18,Midsummer,18,Leo,26,
2024,August,Monday,19,Midsummer,19,Leo,27,
2024,August,Tuesday,20,Midsummer,20,Leo,28,
2024,August,Wednesday,21,Midsummer,21,Leo,29,
2024,August,Thursday,22,Midsummer,22,Leo,30,Feast of the Queenship of Mary
2024,August,Friday,23,Midsummer,23,Leo,31,
